# Phase C 단계 0 baseline profile
# label: gpupath_r2
# generated: 2026-07-26 03:57:34
# scene: Assets/@Project/Scenes/GameScene.unity, seed=12345, rivalCount=3, groundY=0.5
# dt=0.02, warmupTicks=200, timingTicks=1000, gcTicks=500, sdfVerifyTicks=20, counterTicks=300
# Stopwatch.Frequency=10000000, HighResolution=True
# 주의: edit-mode headless 측정(Animator/스키닝/렌더 제외). Raycast/CheckSphere는 실제 physics 수행.
# 소스: live 프리팹 인스턴스(_useSdfSolver=1). SDF ON 강제 + IsSdfActive 단언 + CC.Move 폴백 0 단언(baseline 인정 조건).
# 주의(SDF ON): CCMove 구간은 ApplyHorizontalMove(리더/팔로워/중립)를 감싸므로 SDF ON에서는 WallSolver.Resolve(SDF 이동 해소) 벽시계다.
#   즉 CCMove≈CharacterController.Move가 아니라 SDF 이동 적용 비용이며(실제 CC.Move 호출 수=0, CcMoveFallbacks 카운터로 별도 검증), 각 이동 구간(LeaderMove/FollowerSteer/NeutralMove)에 중첩된다.
# work counter는 timing을 교란하므로 timing/GC pass는 counter OFF, 진단 counter는 -profileCounters 별도 pass에서만 집계.
# alloc_*는 GC.GetTotalMemory(false) tick 델타(음수 clamp) 프록시 = per-tick 관리 힙 할당 하한 지표(GC 수집 노이즈 존재).

# SeparationVisitBudget override: config-default(off)
## SUMMARY (ms/tick, bytes/tick)
neutralCount,agents,simtick_median_ms,simtick_p95_ms,simtick_max_ms,alloc_total_bytes,alloc_mean_bytes_per_tick,alloc_max_bytes_per_tick,moved_agents,leader_disp_m
5000,5004,3.694,4.6207,6.1318,0,0,0,3,0
10000,10004,9.3956,11.1554,17.1962,0,0,0,3,0

## SEGMENTS (mean ms/tick, % of Total)
neutralCount,segment,mean_ms,pct_of_total
5000,Total,3.8358,100
5000,Restore,0.0182,0.4733
5000,Heading,0.0078,0.2031
5000,LeaderMove,0.0301,0.785
5000,FollowerSteer,0.7093,18.4914
5000,NeutralMove,1.5706,40.9455
5000,Mirror,0.0015,0.0383
5000,GridRebuild,0.0998,2.6028
5000,Recruit,1.0946,28.5371
5000,Combat,0.2995,7.8071
5000,CommitPublish,0.002,0.0521
5000,CCMove,0.559,14.572
5000,FollowerPrepass,0.0302,0.7884
5000,FollowerGridSnapshot,0.0073,0.1915
5000,FollowerJobWait,0.4346,11.3308
5000,FollowerPresent,0.2327,6.0667
5000,NeutralPrepass,0.6934,18.0777
5000,NeutralJobWait,0.0998,2.6016
5000,NeutralPresent,0.7766,20.2452
5000,DERIVED_CCMove,0.559,14.572
5000,DERIVED_TransformMarshal,0.0196,0.5116
5000,DERIVED_MoveMathPure,1.751,45.6498
5000,DERIVED_KernelResolvers,1.4939,38.947
10000,Total,9.5586,100
10000,Restore,0.036,0.3766
10000,Heading,0.0101,0.1058
10000,LeaderMove,0.0197,0.2056
10000,FollowerSteer,4.5758,47.8717
10000,NeutralMove,1.5872,16.6051
10000,Mirror,0.0019,0.0202
10000,GridRebuild,0.2292,2.3982
10000,Recruit,1.655,17.3142
10000,Combat,1.4308,14.9684
10000,CommitPublish,0.0089,0.0928
10000,CCMove,3.0214,31.6098
10000,FollowerPrepass,0.1845,1.9307
10000,FollowerGridSnapshot,0.0165,0.1724
10000,FollowerJobWait,2.9004,30.3433
10000,FollowerPresent,1.4684,15.3622
10000,NeutralPrepass,0.7234,7.5685
10000,NeutralJobWait,0.1091,1.1416
10000,NeutralPresent,0.7536,7.8843
10000,DERIVED_CCMove,3.0214,31.6098
10000,DERIVED_TransformMarshal,0.0379,0.3968
10000,DERIVED_MoveMathPure,3.1613,33.0725
10000,DERIVED_KernelResolvers,3.315,34.6808
