# Phase C 단계 0 baseline profile
# label: step1_serialsplit_r1
# generated: 2026-07-26 02:26:47
# scene: Assets/@Project/Scenes/GameScene.unity, seed=12345, rivalCount=3, groundY=0.5
# dt=0.02, warmupTicks=200, timingTicks=1000, gcTicks=500, sdfVerifyTicks=20, counterTicks=300
# Stopwatch.Frequency=10000000, HighResolution=True
# 주의: edit-mode headless 측정(Animator/스키닝/렌더 제외). Raycast/CheckSphere는 실제 physics 수행.
# 소스: live 프리팹 인스턴스(_useSdfSolver=1). SDF ON 강제 + IsSdfActive 단언 + CC.Move 폴백 0 단언(baseline 인정 조건).
# 주의(SDF ON): CCMove 구간은 ApplyHorizontalMove(리더/팔로워/중립)를 감싸므로 SDF ON에서는 WallSolver.Resolve(SDF 이동 해소) 벽시계다.
#   즉 CCMove≈CharacterController.Move가 아니라 SDF 이동 적용 비용이며(실제 CC.Move 호출 수=0, CcMoveFallbacks 카운터로 별도 검증), 각 이동 구간(LeaderMove/FollowerSteer/NeutralMove)에 중첩된다.
# work counter는 timing을 교란하므로 timing/GC pass는 counter OFF, 진단 counter는 -profileCounters 별도 pass에서만 집계.
# alloc_*는 GC.GetTotalMemory(false) tick 델타(음수 clamp) 프록시 = per-tick 관리 힙 할당 하한 지표(GC 수집 노이즈 존재).

# SeparationVisitBudget override: config-default(off)
## SUMMARY (ms/tick, bytes/tick)
neutralCount,agents,simtick_median_ms,simtick_p95_ms,simtick_max_ms,alloc_total_bytes,alloc_mean_bytes_per_tick,alloc_max_bytes_per_tick,moved_agents,leader_disp_m
5000,5004,6.2599,8.3144,15.5358,0,0,0,3,0
10000,10004,20.3145,22.6684,36.5142,0,0,0,3,0

## SEGMENTS (mean ms/tick, % of Total)
neutralCount,segment,mean_ms,pct_of_total
5000,Total,6.4318,100
5000,Restore,0.0177,0.2746
5000,Heading,0.0078,0.1218
5000,LeaderMove,0.0293,0.455
5000,FollowerSteer,1.3637,21.2021
5000,NeutralMove,3.5536,55.2502
5000,Mirror,0.0012,0.0186
5000,GridRebuild,0.0965,1.5
5000,Recruit,1.0636,16.5362
5000,Combat,0.2942,4.5741
5000,CommitPublish,0.0018,0.0285
5000,CCMove,0.5464,8.4958
5000,FollowerPrepass,0.0294,0.4577
5000,FollowerGridSnapshot,0.0079,0.1226
5000,FollowerJobWait,0.4223,6.5665
5000,FollowerPresent,0.8995,13.9845
5000,NeutralPrepass,0.6634,10.314
5000,NeutralJobWait,0.0994,1.5461
5000,NeutralPresent,2.79,43.3785
5000,DERIVED_CCMove,0.5464,8.4958
5000,DERIVED_TransformMarshal,0.0189,0.2931
5000,DERIVED_MoveMathPure,4.4001,68.4114
5000,DERIVED_KernelResolvers,1.4543,22.6104
10000,Total,20.5569,100
10000,Restore,0.0347,0.1689
10000,Heading,0.01,0.0487
10000,LeaderMove,0.018,0.0875
10000,FollowerSteer,11.7482,57.1497
10000,NeutralMove,5.5345,26.9227
10000,Mirror,0.0021,0.01
10000,GridRebuild,0.213,1.0361
10000,Recruit,1.5917,7.7429
10000,Combat,1.3927,6.7749
10000,CommitPublish,0.008,0.0391
10000,CCMove,2.8124,13.6812
10000,FollowerPrepass,0.1756,0.854
10000,FollowerGridSnapshot,0.0192,0.0936
10000,FollowerJobWait,2.6809,13.0415
10000,FollowerPresent,8.8657,43.1274
10000,NeutralPrepass,0.7046,3.4278
10000,NeutralJobWait,0.1192,0.5797
10000,NeutralPresent,4.7093,22.9088
10000,DERIVED_CCMove,2.8124,13.6812
10000,DERIVED_TransformMarshal,0.0368,0.1789
10000,DERIVED_MoveMathPure,14.4883,70.4788
10000,DERIVED_KernelResolvers,3.1974,15.5539
